submission_date;state;new_case;new_death
01/22/2020;CO;0;0
01/23/2020;CO;0;0
01/24/2020;CO;0;0
01/25/2020;CO;0;0
01/26/2020;CO;0;0
01/27/2020;CO;0;0
01/28/2020;CO;0;0
01/29/2020;CO;0;0
01/30/2020;CO;0;0
01/31/2020;CO;0;0
02/01/2020;CO;0;0
02/02/2020;CO;0;0
02/03/2020;CO;0;0
02/04/2020;CO;0;0
02/05/2020;CO;0;0
02/06/2020;CO;0;0
02/07/2020;CO;0;0
02/08/2020;CO;0;0
02/09/2020;CO;0;0
02/10/2020;CO;0;0
02/11/2020;CO;0;0
02/12/2020;CO;0;0
02/13/2020;CO;0;0
02/14/2020;CO;0;0
02/15/2020;CO;0;0
02/16/2020;CO;0;0
02/17/2020;CO;0;0
02/18/2020;CO;0;0
02/19/2020;CO;0;0
02/20/2020;CO;0;0
02/21/2020;CO;0;0
02/22/2020;CO;0;0
02/23/2020;CO;0;0
02/24/2020;CO;0;0
02/25/2020;CO;0;0
02/26/2020;CO;0;0
02/27/2020;CO;0;0
02/28/2020;CO;0;0
02/29/2020;CO;0;0
03/01/2020;CO;0;0
03/02/2020;CO;0;0
03/03/2020;CO;0;0
03/04/2020;CO;0;0
03/05/2020;CO;1;0
03/06/2020;CO;1;0
03/07/2020;CO;6;0
03/08/2020;CO;0;0
03/09/2020;CO;4;0
03/10/2020;CO;5;0
03/11/2020;CO;17;0
03/12/2020;CO;15;0
03/13/2020;CO;0;0
03/14/2020;CO;0;0
03/15/2020;CO;95;1
03/16/2020;CO;16;0
03/17/2020;CO;23;1
03/18/2020;CO;33;0
03/19/2020;CO;61;0
03/20/2020;CO;86;2
03/21/2020;CO;112;1
03/22/2020;CO;116;1
03/23/2020;CO;129;1
03/24/2020;CO;201;4
03/25/2020;CO;165;8
03/26/2020;CO;344;5
03/27/2020;CO;304;7
03/28/2020;CO;327;13
03/29/2020;CO;246;3
03/30/2020;CO;320;4
03/31/2020;CO;339;18
04/01/2020;CO;376;11
04/02/2020;CO;386;17
04/03/2020;CO;445;14
04/04/2020;CO;392;15
04/05/2020;CO;385;14
04/06/2020;CO;222;10
04/07/2020;CO;257;29
04/08/2020;CO;226;14
04/09/2020;CO;547;33
04/10/2020;CO;163;24
04/11/2020;CO;528;24
04/12/2020;CO;410;16
04/13/2020;CO;388;18
04/14/2020;CO;250;21
04/15/2020;CO;339;28
04/16/2020;CO;302;16
04/17/2020;CO;465;18
04/18/2020;CO;386;20
04/19/2020;CO;201;10
04/20/2020;CO;385;27
04/21/2020;CO;349;37
04/22/2020;CO;457;22
04/23/2020;CO;357;44
04/24/2020;CO;1002;121
04/25/2020;CO;684;-2
04/26/2020;CO;482;9
04/27/2020;CO;448;27
04/28/2020;CO;440;30
04/29/2020;CO;437;30
04/30/2020;CO;507;11
05/01/2020;CO;486;43
05/02/2020;CO;452;12
05/03/2020;CO;414;10
05/04/2020;CO;344;9
05/05/2020;CO;439;52
05/06/2020;CO;421;18
05/07/2020;CO;580;23
05/08/2020;CO;475;16
05/09/2020;CO;523;7
05/10/2020;CO;316;4
05/11/2020;CO;103;15
05/12/2020;CO;356;20
05/13/2020;CO;310;53
05/14/2020;CO;361;31
05/15/2020;CO;369;60
05/16/2020;CO;380;42
05/17/2020;CO;286;23
05/18/2020;CO;298;9
05/19/2020;CO;304;33
05/20/2020;CO;353;42
05/21/2020;CO;369;10
05/22/2020;CO;334;14
05/23/2020;CO;482;4
05/24/2020;CO;200;3
05/25/2020;CO;89;1
05/26/2020;CO;277;19
05/27/2020;CO;492;42
05/28/2020;CO;126;29
05/29/2020;CO;492;15
05/30/2020;CO;485;7
05/31/2020;CO;280;2
06/01/2020;CO;199;13
06/02/2020;CO;211;16
06/03/2020;CO;272;20
06/04/2020;CO;300;18
06/05/2020;CO;255;12
06/06/2020;CO;233;3
06/07/2020;CO;153;0
06/08/2020;CO;182;16
06/09/2020;CO;164;10
06/10/2020;CO;152;20
06/11/2020;CO;148;10
06/12/2020;CO;175;12
06/13/2020;CO;195;3
06/14/2020;CO;113;1
06/15/2020;CO;169;6
06/16/2020;CO;143;12
06/17/2020;CO;231;14
06/18/2020;CO;228;7
06/19/2020;CO;286;5
06/20/2020;CO;162;4
06/21/2020;CO;190;0
06/22/2020;CO;166;4
06/23/2020;CO;188;14
06/24/2020;CO;262;2
06/25/2020;CO;324;2
06/26/2020;CO;317;4
06/27/2020;CO;226;1
06/28/2020;CO;285;2
06/29/2020;CO;204;6
06/30/2020;CO;204;8
07/01/2020;CO;314;7
07/02/2020;CO;323;4
07/03/2020;CO;260;0
07/04/2020;CO;254;0
07/05/2020;CO;199;0
07/06/2020;CO;192;-10
07/07/2020;CO;407;5
07/08/2020;CO;452;8
07/09/2020;CO;409;2
07/10/2020;CO;666;18
07/11/2020;CO;400;1
07/12/2020;CO;322;0
07/13/2020;CO;329;2
07/14/2020;CO;444;11
07/15/2020;CO;469;6
07/16/2020;CO;571;1
07/17/2020;CO;618;6
07/18/2020;CO;444;1
07/19/2020;CO;354;0
07/20/2020;CO;424;6
07/21/2020;CO;493;5
07/22/2020;CO;639;8
07/23/2020;CO;616;15
07/24/2020;CO;666;4
07/25/2020;CO;809;4
07/26/2020;CO;547;0
07/27/2020;CO;229;5
07/28/2020;CO;749;8
07/29/2020;CO;482;15
07/30/2020;CO;408;0
07/31/2020;CO;605;16
08/01/2020;CO;458;6
08/02/2020;CO;449;0
08/03/2020;CO;252;0
08/04/2020;CO;426;5
08/05/2020;CO;594;2
08/06/2020;CO;448;1
08/07/2020;CO;457;5
08/08/2020;CO;431;0
08/09/2020;CO;336;1
08/10/2020;CO;379;5
08/11/2020;CO;402;12
08/12/2020;CO;315;0
08/13/2020;CO;373;7
08/14/2020;CO;409;6
08/15/2020;CO;300;8
08/16/2020;CO;338;0
08/17/2020;CO;194;0
08/18/2020;CO;261;3
08/19/2020;CO;270;1
08/20/2020;CO;329;3
08/21/2020;CO;356;7
08/22/2020;CO;297;8
08/23/2020;CO;250;0
08/24/2020;CO;208;1
08/25/2020;CO;459;7
08/26/2020;CO;194;1
08/27/2020;CO;349;4
08/28/2020;CO;430;6
08/29/2020;CO;268;7
08/30/2020;CO;182;0
