,Description,Target
0,Target Corp and Walmart said on Sunday they shuttered stores across the United States as retailers already reeling from closures because of the coronavirus pandemic shut outlets amid protests that included looting in many U.S. cities.,negative
1,"Delta Air Lines Inc  and its pilots union said on Sunday they are working to avoid furloughs of roughly 2,300 pilots following a reshuffling process meant to match staffing to summer 2021 flying.",neutral
2,"Coty Inc  is set to announce that Peter Harf, its current chairman, will become the cosmetics company's new chief executive officer, replacing Pierre Laubies, the Wall Street Journal reported on Sunday, citing people familiar with the matter.",neutral
3,"Amazon.com Inc Chief Executive Jeff Bezos has picked British startup Beacon, a digital freight forwarder, for his latest investment.",neutral
4,"Mexican broadcaster Televisa said on Sunday it will start offering mobile phone service, a bid to challenge billionaire Carlos Slim's America Movil, which has long dominated the country's telecommunications market.",neutral
5,"Brazilian planemaker Embraer SA , the world's third largest commercial jet builder, should obtain $600 million in credit lines from Brazil's state development bank BNDES and private banks in June, government sources said on Sunday.",positive
6,"Russia has no objection to the next meeting of OPEC and its allies, known as OPEC+, being brought forward to June 4 from the following week, three OPEC+ sources familiar with the meeting's preparations told Reuters on Sunday.",neutral
7,"Renault  has no plans to close its Maubeuge plant in northern France, Chairman Jean-Dominique Senard said on Sunday, two days after the carmaker announced 15,000 job cuts globally as part of a major restructuring.",negative
8,"European trade commissioner Phil Hogan is considering putting his name forward as a candidate to be the next director-general of the World Trade Organization, his spokesman said on Sunday.",neutral
9,Investors are taking a closer look at the market's consumer discretionary companies as a reopening U.S. economy fuels hopes of a turnaround for some of the sector's hardest-hit names.,positive
10,"Video conferencing provider Zoom  plans to strengthen encryption of video calls hosted by paying clients and institutions such as schools, but not by users of its free consumer accounts, a company official said on Friday.",neutral
11,Amazon.com Inc  said it was removing certain images after messages using extremely strong racist abuse appeared on some listings on its UK website when users searched for Apple's  AirPods and other similar products.,neutral
12,Alphabet Inc's  Google on Saturday said it has postponed next week's planned unveiling of the beta version of its latest Android 11 mobile operating system in light of protests and unrest in the United States.,neutral
13,"Credit Suisse will not take a significant hit from its exposure to the battered oil and gas sector, Chairman Urs Rohner told Swiss state broadcaster SRF on Saturday.",positive
14,"Lufthansa's management board has accepted a more favourable set of demands from the European Commission in exchange for approval of a 9 billion euro ($10 billion) government bailout, the carrier said on Saturday, paving the way for its rescue.",positive
15,"U.S. pipeline operator Energy Transfer LP  will begin cutting about 6% of its workforce next week, underscoring the spreading impact of weak oil and gas prices on the energy business.",negative
16,"The closing of a $252 million sale of the Philadelphia Energy Solutions (PES) oil refinery to a Chicago-based real estate developer has been delayed, a city official and source with knowledge of the agreement said on Friday.",neutral
17,"Lyft Inc was sued on Friday by a former driver who accused the ride-sharing company of failing to provide required paid sick leave to drivers in Washington, D.C., a policy she said could fuel the spread of the coronavirus.",neutral
