,Date,Description,Target
0,2020-05-31,Target Corp and Walmart said on Sunday they shuttered stores across the United States as retailers already reeling from closures because of the coronavirus pandemic shut outlets amid protests that included looting in many U.S. cities.,negative
1,2020-05-31,"Delta Air Lines Inc  and its pilots union said on Sunday they are working to avoid furloughs of roughly 2,300 pilots following a reshuffling process meant to match staffing to summer 2021 flying.",neutral
2,2020-05-31,"Coty Inc  is set to announce that Peter Harf, its current chairman, will become the cosmetics company's new chief executive officer, replacing Pierre Laubies, the Wall Street Journal reported on Sunday, citing people familiar with the matter.",neutral
3,2020-05-31,"Amazon.com Inc Chief Executive Jeff Bezos has picked British startup Beacon, a digital freight forwarder, for his latest investment.",neutral
4,2020-05-31,"Mexican broadcaster Televisa said on Sunday it will start offering mobile phone service, a bid to challenge billionaire Carlos Slim's America Movil, which has long dominated the country's telecommunications market.",neutral
5,2020-05-31,"Brazilian planemaker Embraer SA , the world's third largest commercial jet builder, should obtain $600 million in credit lines from Brazil's state development bank BNDES and private banks in June, government sources said on Sunday.",positive
6,2020-05-31,"Russia has no objection to the next meeting of OPEC and its allies, known as OPEC+, being brought forward to June 4 from the following week, three OPEC+ sources familiar with the meeting's preparations told Reuters on Sunday.",neutral
7,2020-05-31,"Renault  has no plans to close its Maubeuge plant in northern France, Chairman Jean-Dominique Senard said on Sunday, two days after the carmaker announced 15,000 job cuts globally as part of a major restructuring.",negative
8,2020-05-31,"European trade commissioner Phil Hogan is considering putting his name forward as a candidate to be the next director-general of the World Trade Organization, his spokesman said on Sunday.",neutral
9,2020-05-31,Investors are taking a closer look at the market's consumer discretionary companies as a reopening U.S. economy fuels hopes of a turnaround for some of the sector's hardest-hit names.,positive
10,2020-05-31,"Video conferencing provider Zoom  plans to strengthen encryption of video calls hosted by paying clients and institutions such as schools, but not by users of its free consumer accounts, a company official said on Friday.",neutral
11,2020-05-31,Amazon.com Inc  said it was removing certain images after messages using extremely strong racist abuse appeared on some listings on its UK website when users searched for Apple's  AirPods and other similar products.,neutral
